Sexo;Estudios;Número de parejas sexuales en la vida;Total
Ambos sexos;Total;Total;19.524,0
Ambos sexos;Total;Una pareja;7.617,5
Ambos sexos;Total;Dos parejas;3.035,9
Ambos sexos;Total;Tres o cuatro parejas;3.703,8
Ambos sexos;Total;De cinco a nueve parejas;2.303,0
Ambos sexos;Total;Diez o más parejas;2.474,1
Ambos sexos;Total;No consta;389,6
Ambos sexos;Inferior a secundaria;Total;8.126,2
Ambos sexos;Inferior a secundaria;Una pareja;3.566,0
Ambos sexos;Inferior a secundaria;Dos parejas;1.241,0
Ambos sexos;Inferior a secundaria;Tres o cuatro parejas;1.315,8
Ambos sexos;Inferior a secundaria;De cinco a nueve parejas;844,0
Ambos sexos;Inferior a secundaria;Diez o más parejas;965,5
Ambos sexos;Inferior a secundaria;No consta;193,9
Ambos sexos;Secundaria;Total;7.248,4
Ambos sexos;Secundaria;Una pareja;2.552,0
Ambos sexos;Secundaria;Dos parejas;1.161,2
Ambos sexos;Secundaria;Tres o cuatro parejas;1.530,5
Ambos sexos;Secundaria;De cinco a nueve parejas;912,0
Ambos sexos;Secundaria;Diez o más parejas;973,8
Ambos sexos;Secundaria;No consta;118,8
Ambos sexos;Universitarios;Total;4.149,4
Ambos sexos;Universitarios;Una pareja;1.499,5
Ambos sexos;Universitarios;Dos parejas;633,8
Ambos sexos;Universitarios;Tres o cuatro parejas;857,5
Ambos sexos;Universitarios;De cinco a nueve parejas;546,9
Ambos sexos;Universitarios;Diez o más parejas;534,8
Ambos sexos;Universitarios;No consta;76,9
Varones;Total;Total;9.967,8
Varones;Total;Una pareja;2.361,2
Varones;Total;Dos parejas;1.359,9
Varones;Total;Tres o cuatro parejas;2.161,2
Varones;Total;De cinco a nueve parejas;1.716,1
Varones;Total;Diez o más parejas;2.086,7
Varones;Total;No consta;282,6
Varones;Inferior a secundaria;Total;4.292,8
Varones;Inferior a secundaria;Una pareja;1.041,3
Varones;Inferior a secundaria;Dos parejas;627,8
Varones;Inferior a secundaria;Tres o cuatro parejas;861,4
Varones;Inferior a secundaria;De cinco a nueve parejas;728,6
Varones;Inferior a secundaria;Diez o más parejas;884,7
Varones;Inferior a secundaria;No consta;148,9
Varones;Secundaria;Total;3.815,0
Varones;Secundaria;Una pareja;891,4
Varones;Secundaria;Dos parejas;502,4
Varones;Secundaria;Tres o cuatro parejas;872,1
Varones;Secundaria;De cinco a nueve parejas;668,1
Varones;Secundaria;Diez o más parejas;803,7
Varones;Secundaria;No consta;77,3
Varones;Universitarios;Total;1.860,1
Varones;Universitarios;Una pareja;428,5
Varones;Universitarios;Dos parejas;229,7
Varones;Universitarios;Tres o cuatro parejas;427,7
Varones;Universitarios;De cinco a nueve parejas;319,4
Varones;Universitarios;Diez o más parejas;398,3
Varones;Universitarios;No consta;56,5
Mujeres;Total;Total;9.556,2
Mujeres;Total;Una pareja;5.256,3
Mujeres;Total;Dos parejas;1.676,0
Mujeres;Total;Tres o cuatro parejas;1.542,6
Mujeres;Total;De cinco a nueve parejas;586,9
Mujeres;Total;Diez o más parejas;387,4
Mujeres;Total;No consta;107,0
Mujeres;Inferior a secundaria;Total;3.833,4
Mujeres;Inferior a secundaria;Una pareja;2.524,7
Mujeres;Inferior a secundaria;Dos parejas;613,2
Mujeres;Inferior a secundaria;Tres o cuatro parejas;454,4
Mujeres;Inferior a secundaria;De cinco a nueve parejas;115,4
Mujeres;Inferior a secundaria;Diez o más parejas;80,7
Mujeres;Inferior a secundaria;No consta;45,0
Mujeres;Secundaria;Total;3.433,4
Mujeres;Secundaria;Una pareja;1.660,5
Mujeres;Secundaria;Dos parejas;658,8
Mujeres;Secundaria;Tres o cuatro parejas;658,4
Mujeres;Secundaria;De cinco a nueve parejas;243,9
Mujeres;Secundaria;Diez o más parejas;170,2
Mujeres;Secundaria;No consta;41,5
Mujeres;Universitarios;Total;2.289,3
Mujeres;Universitarios;Una pareja;1.071,0
Mujeres;Universitarios;Dos parejas;404,1
Mujeres;Universitarios;Tres o cuatro parejas;429,8
Mujeres;Universitarios;De cinco a nueve parejas;227,5
Mujeres;Universitarios;Diez o más parejas;136,5
Mujeres;Universitarios;No consta;20,5
